YearsExperience,Salary
0.5,35000
1,45000
1,40000
1,40000
1,35000
1,35000
1,35000
1,35000
1,100000
1,100000
1,100000
1,100000
1,100000
1,100000
1,100000
1,100000
1,100000
1,100000
1,100000
1,100000
1,100000
1,100000
1,90000
1,95000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,95000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,92000
1,95000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,95000
1,90000
1,92000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,90000
1,60000
1,60000
1,55000
1,60000
1,60000
1,55000
1,60000
1,55000
1,55000
1,55000
1,55000
1,60000
1,60000
1,60000
1,60000
1,55000
1,55000
1,55000
1,60000
1,60000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,550
1,50000
1,50000
1,50000
1,50000
1,50000
1,50000
1,50000
1,50000
1,52731
1,119836
1,51265
1,52731
1,119836
1,51265
1,106132
1,47898
1,61095
1,579
1,50000
1,45000
1,50000
1,50000
1,50000
1,50000
1,50000
1,52807
1,106686
1,55935
1,55935
1,52807
1,106686
1,55935
1,55935
1,52807
1,106686
1,50000
1,50000
1,50000
1,50000
1,50000
1,50000
1,50000
1,50000
1,50000
1,50000
1,50000
1,50000
1,50000
1,50000
1,50000
1,45000
1,32000
1,32000
1,40000
1,30000
1,40000
1,32000
1,32000
1,40000
1,32000
1,32000
1,40000
1,32000
1,32000
1,40000
1,32000
1,32000
1,40000
1,32000
1,32000
1,32000
1,32000
1,40000
1,30000
1,40000
1,32000
1,32000
1,40000
1,32000
1,32000
1,40000
1,32000
1,32000
1,40000
1,32000
1,32000
1,40000
1,32000
1,32000
1,30000
1,35000
1,30000
1,35000
1,30000
1,35000
1,30000
1,35000
1,30000
1,35000
1,30000
1,35000
1,30000
1,35000
1,30000
1,35000
1,30000
1,30000
1,35000
1,30000
1,35000
1,30000
1,35000
1,30000
1,35000
1,30000
1,35000
1,30000
1,35000
1,30000
1,35000
1,30000
1,35000
1,30000
1,25000
1,35000
1,25000
1,35000
1,25000
1,35000
1,25000
1,35000
1,25000
1,35000
1,25000
1,35000
1,25000
1,35000
1,25000
1,35000
1,25000
1,25000
1,25000
1,25000
1,25000
1,25000
1,25000
1,25000
1,25000
1,25000
1,25000
1,25000
1,25000
1,25000
1,25000
1,25000
1,25000
1,25000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,26000
1,25000
1,25000
1,52000
1,25000
1,25000
1,52000
1,25000
1,25000
1,52000
1,25000
1,25000
1,52000
1,25000
1,25000
1,52000
1,25000
1,25000
1,52000
1,25000
1,25000
1,52000
1,25000
1,25000
1,52000
1,35000
1,32000
1,35000
1,32000
1,40000
1,32000
1,32000
1,35000
1,32000
1,32000
1,40000
1,32000
1,32000
1,35000
1,32000
1,45000
1,30000
1,45000
1,30000
1,45000
1,30000
1,45000
1,30000
1,45000
1,30000
1,45000
1,30000
1,45000
1,30000
1,45000
1,30000
1,45000
1,30000
1,45000
1,30000
1,45000
1,30000
1,45000
1,30000
1,45000
1,30000
1,30000
1,30000
1,30000
1,30000
1,30000
1,30000
1,30000
1,30000
1,30000
1,30000
1,30000
1,30000
1,30000
1,30000
1,30000
1,30000
1,30000
1,30000
1,60000
1,55000
1,55000
1,60000
1,55000
1,55000
1,60000
1,55000
1,55000
1,60000
1,55000
1,55000
1,60000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,60000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,55000
1,45000
1,30000
1,50000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,45000
1,30000
1,50000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,45000
1,30000
1,50000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,30000
1,45000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,60000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,30000
1,35000
1,35000
1,30000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1,35000
1.5,40000
1.5,35000
1.5,45000
1.5,35000
1.5,45000
1.5,35000
1.5,50000
1.5,40000
1.5,350
1.5,40000
1.5,35000
1.5,35000
2,55000
2,40000
2,50000
2,45000
2,40000
2,65000
2,40000
2,40000
2,45000
2,40000
2,40000
2,40000
2,35000
2,40000
2,40000
2,40000
2,40000
2,40000
2,40000
2,40000
2,40000
2,40000
2,40000
2,40000
2,40000
2,40000
2,40000
2,40000
2,40000
2,40000
2,40000
2,120000
2,110000
2,115000
2,120000
2,110000
2,115000
2,120000
2,110000
2,115000
2,120000
2,110000
2,115000
2,115000
2,120000
2,110000
2,115000
2,115000
2,115000
2,115000
2,115000
2,110000
2,110000
2,110000
2,110000
2,110000
2,110000
2,110000
2,125000
2,115000
2,110000
2,110000
2,110000
2,110000
2,110000
2,115000
2,110000
2,110000
2,110000
2,110000
2,110000
2,110000
2,110000
2,110000
2,110000
2,110000
2,115000
2,110000
2,110000
2,110000
2,110000
2,110000
2,110000
2,110000
2,110000
2,110000
2,110000
2,110000
2,100000
2,95000
2,100000
2,95000
2,100000
2,95000
2,100000
2,95000
2,100000
2,95000
2,100000
2,95000
2,100000
2,95000
2,100000
2,95000
2,100000
2,95000
2,100000
2,95000
2,100000
2,95000
2,100000
2,95000
2,100000
2,90000
